,Segmentation,Obs,Customer,I.tend.to.plan.things.very.carefully.,I.sometimes.have.trouble.controlling.my.spending.,I.think.it.is.important.to.purchase.products.that.are.made.locally.,I.carefully.consider.the.health.benefits.of.what.I.eat.,Segment,Please indicate how important the following factors are when you visit a restaurant - Convenient,Please indicate how important the following factors are when you visit a restaurant - Variety,Please indicate how important the following factors are when you visit a restaurant - Value,Please indicate how important the following factors are when you visit a restaurant - Healthy,Please indicate how important the following factors are when you visit a restaurant - Taste,Please indicate how important the following factors are when you visit a restaurant - Staff,Please indicate how important the following factors are when you visit a restaurant - Ambiance,Please indicate how important the following factors are when you visit a restaurant - Consistency,Please indicate how important the following factors are when you visit a restaurant - Community,Please indicate how important the following factors are when you visit a restaurant - Other,What is your gender?,What is your age?,What is your approximate average annual household income?,How would you best describe your household type?
41,Seg1,65,0,2,4,1,2,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,,2.0,2.0,2.0,2.0
42,Seg3,67,0,2,2,3,4,1.0,,,,,,,,,,,,,,
43,Seg3,68,0,2,2,2,2,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,,1.0,1.0,2.0,2.0
44,Seg3,70,0,1,3,2,3,1.0,,,,,,,,,,,,,,
45,Seg3,72,0,2,2,3,3,1.0,,,,,,,,,,,,,,
46,Seg3,73,0,3,2,2,2,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,,2.0,3.0,2.0,2.0
47,Seg2,75,0,1,3,2,2,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,
48,Seg3,77,0,2,2,2,2,4.0,,,,,,,,,,,,,,
49,Seg3,78,0,3,3,2,3,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,3.0,1.0,2.0
50,Seg3,79,0,2,3,3,3,1.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,3.0,,2.0,1.0,2.0,2.0
51,Seg1,80,0,2,4,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,1.0,3.0,1.0,1.0
52,Seg2,82,0,2,2,2,1,3.0,,,,,,,,,,,,,,
53,Seg3,87,0,3,2,2,2,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0
54,Seg3,88,0,2,3,4,2,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,1.0,2.0
55,Seg3,89,0,2,1,2,2,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0
56,Seg3,90,0,3,2,2,2,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0
57,Seg2,91,0,2,3,1,1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,3.0
58,Seg3,92,0,2,2,3,2,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,2.0
59,Seg1,93,0,2,4,2,2,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,,1.0,2.0,1.0,2.0
60,Seg2,94,0,1,2,3,1,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,3.0,1.0,1.0
61,Seg2,95,0,1,2,2,1,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0
62,Seg3,99,0,2,2,2,2,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0
63,Seg3,101,0,2,2,3,3,1.0,,,,,,,,,,,,,,
64,Seg1,102,0,2,3,2,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,1.0
65,Seg3,103,0,3,1,2,2,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,3.0,1.0,1.0
66,Seg1,104,0,4,3,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,2.0,1.0,1.0
67,Seg3,105,0,3,1,1,2,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,3.0,2.0,2.0
68,Seg3,106,0,2,1,4,3,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,4.0,1.0,2.0
69,Seg2,107,0,1,2,2,1,5.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0
70,Seg1,108,0,2,3,2,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0
71,Seg3,109,0,2,3,4,2,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,1.0,3.0,2.0
72,Seg1,110,0,3,4,3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,,1.0,2.0,2.0,2.0
73,Seg1,111,0,2,3,2,1,3.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,,1.0,3.0,3.0,2.0
74,Seg1,112,0,1,4,3,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,,1.0,3.0,2.0,1.0
75,Seg2,113,0,1,2,3,1,4.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,,1.0,2.0,2.0,2.0
76,Seg2,114,0,2,2,1,2,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,3.0
77,Seg2,115,0,1,4,2,1,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,2.0,2.0
78,Seg3,116,0,3,3,2,3,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0
79,Seg2,118,0,1,1,2,2,4.0,,,,,,,,,,,,,,
80,Seg1,119,0,1,4,2,2,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,2.0,2.0
81,Seg3,122,0,1,2,2,4,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,,,,,
82,Seg2,123,0,1,3,2,2,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,,1.0,2.0,2.0,2.0
83,Seg2,124,0,1,2,1,2,5.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,,1.0,3.0,1.0,2.0
84,Seg3,125,0,2,2,2,2,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,1.0,3.0
85,Seg3,126,0,2,2,2,2,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,1.0,3.0,1.0,2.0
86,Seg2,127,0,1,1,1,2,4.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,2.0,2.0,2.0
87,Seg1,128,0,2,3,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,2.0
88,Seg1,129,0,2,3,2,1,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,4.0,1.0,1.0
89,Seg3,130,0,2,3,2,3,1.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,,1.0,3.0,1.0,2.0
90,Seg1,131,0,2,3,2,2,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,4.0,2.0,2.0
91,Seg2,132,0,1,3,2,1,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,,1.0,1.0,1.0,1.0
92,Seg2,134,0,1,2,2,1,5.0,,,,,,,,,,,,,,
93,Seg2,135,0,1,2,2,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,1.0,2.0
94,Seg3,137,0,1,2,2,3,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,3.0,,1.0,1.0,1.0,1.0
95,Seg3,138,0,2,2,2,2,4.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,5.0,,1.0,2.0,3.0,2.0
96,Seg3,139,0,1,2,2,3,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,3.0,1.0
97,Seg2,140,0,1,4,1,1,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,,1.0,3.0,1.0,2.0
98,Seg1,141,0,2,3,2,2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,2.0
99,Seg3,142,0,3,2,2,2,4.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,,1.0,3.0,1.0,2.0
100,Seg2,143,0,1,2,2,1,5.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,3.0,1.0,2.0
101,Seg3,144,0,2,2,2,2,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,3.0,2.0,2.0
102,Seg3,145,0,1,3,2,3,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2.0,2.0
103,Seg3,147,0,3,1,3,2,1.0,,,,,,,,,,,,,,
104,Seg3,148,0,2,1,2,2,4.0,1.0,2.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,,2.0,2.0,2.0,2.0
105,Seg1,149,0,1,4,3,1,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,,1.0,3.0,3.0,2.0
106,Seg3,150,0,2,1,3,3,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,2.0
107,Seg1,152,0,1,4,2,2,3.0,,,,,,,,,,,,,,
108,Seg1,153,0,2,3,2,2,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,,1.0,2.0,3.0,2.0
